subsection,source,content
Консоль управления vCloudDirector,https://oncloud.ru/documentation/catalog/iaas/console-vclouddirector,"Консоль управления vCloudDirector1. Главное менюVMware Cloud Director – ведущая платформа управления предоставлением облачных сервисов. Главное меню содержит Разделы:Функции Разделов представлены в Таблице.РазделСодержаниеData CentersСписок виртуальных ЦОД организации. Обычно он один, но может быть больше.ApplicationsvAppи ВМ, которые доступны в организации.NetworkingСписок сетей иEDGEs, которые доступны в организации.Content HubСписки шаблонов vApp, каталогов и образов дисков, которые доступны в организации.AdministrationСоздание и удаление пользователей, политик и иные административные настройки.MonitorПросмотр исторической информации о действиях, которые производились в рамках организации.More → Data Protection with VeeamИнструмент для самостоятельного планирования резервного копирования. Доступ организуется по запросу.More → Availability (DS-Site / IXC-Site)Инструмент VMware Cloud Director Availability для миграции и аварийного восстановления. Настраивается отдельно.2. Дата-центрВ разделе Data Centers сверху отображается информация об организации.Пользователям под учетной записью, создаваемой по умолчанию, доступна следующая информация:• Environment — количество виртуальных ЦОД и организаций под управлением пользователя;• Running Applications — количество запущенных vApp и ВМ;• Used Resources — ресурсы, которые используются - CPU, Memory и Storage.Сводная информация по ресурсам виртуальных ЦОД показана в едином окне:Для перехода в виртуальный ЦОД нажмите на его карточку.2.1 ПоискСписок объектов, которые можно искать по названию:• виртуальные ЦОД;• шаблоны vApp;• vApp;• ВМ;• сети;• каталоги.2.2 Поиск объекта по названию или ВМ по IP-адресуПоиск объекта по названию или ВМ по IP-адресу:1.    В правом верхнем углу нажмите на значок поиска.2.    В поле Search entity укажите тип искомой сущности, затем нажмите Enter. Например, Virtual Machines.3.    Далее вводим имя / часть имени ВМ или IP-адрес.4.    Нажмите Enter.5.    В результате будет найдена ВМ по части имени:2.3 События (Monitor)Список событий можно увидеть в разделе Monitor → Tasks. Чтобы посмотреть подробную информацию о событии, нажмите на него.Здесь можно посмотреть события, а также детальную информацию о каждом: название, статус, тип, инициатора, время старта, время окончания, название службы.Monitor → Events – те же события, но более подробно."
Виртуальные машины (VMs),https://oncloud.ru/documentation/catalog/iaas/virtual-machines,"Виртуальные машины (VMs)1. Работа с ВМ (Applications→ Virtual Machines)Список всех ВМ организации отображается в разделе Applications → Virtual Machines.1.1 Поиск ВМ по названию или описаниюПоиск ВМ возможен:• по имени ВМ - в поле Find by стоит «Name»;• по описанию ВМ - в поле Find by из расскрывающегося списка выбрать «Description».При вводе хотя бы части имени, в списке останутся виртуальные машины, у которых в названии (или описании) есть совпадение с искомой фразой.1.2 Расширенный поиск Advanced FilteringРасширенный поиск Advanced Filtering доступен по VM Filtering Options:• «Name» — по названию ВМ;• «Description» — по описанию;• «IP Address» — по IP-адресу;• «State» — по статусу («Powered on», «Powered off», «Suspended»);• «Snapshot» — по наличию наличию или отсутствию спапшотов;• «Expired» — по времени аренды (истекло или нет);• «Owner» — по владельцу;• «Badges» — по ярлыку;• «Creation Date» — по дате создания (по промежутку);• «Standalone VMs» — по признаку размещения или не размещения ВМ в vApp.В списке останутся ВМ, которые подходят под заданные параметры поиска.1.3 Сортировка выбранных ВМСортировка выбранных ВМ возможна по:• «Name» — по названию;• «State» — по статусу;• «Creation Date» — по дате создания;• «Runtime lease» — по ограничению на время работы;• «Storage lease» — по ограничению на время хранения перед удалением;• «CPUs» — по количеству ядер CPU;• «Memory Allocation» — по выделенному объему RAM;• «Storage Allocation» — по выделенному объему виртуального диска.• «Guest OS» — по типу операционной системы.Стрелкой справа выбирается способ сортировки — по возрастанию или по убыванию.Переключатель отображения карточками или списком расположен в правом верхнем углу.Переключатель Multiselect позволяет управлять сразу несколькими ВМ:1) Включите режим Multiselect.2) Выберите нужные ВМ с помощью чек-боксов.3) Из списка ACTIONS выберите нужное действие:• «Power» — запуск ВМ, выключение ВМ, постановка в паузу и сброс (перезагрузка);• «Snapshot» — создание снапшота, восстановление из снапшота и удаление снапшота;• «Install VMware Tools» — установка VMware Tools;• «Delete» — удаление ВМ.4) Действие запустится для всех выбранных ВМ.ВМ можно отмечать цветными ярлыками для визуальной наглядности. Также по ярлыку можно искать объекты.1) В карточке виртуальной машины нажмите Badges.2) Выберите один или несколько ярлыков.3) Нажмите SAVE.4) В карточке виртуальной машины появятся выбранные ярлыки.2. Создание виртуальной машиныВиртуальные машины можно создавать как в vApp (контейнер, где размещаются виртуальные машины), так и без привязки к vApp.Отдельные виртуальные машины, которые размещаются вне vApp, называются Standalone VM.Создание Standalone VM:1) В разделе Data Centers выберите необходимый виртуальный ЦОД и в меню слева выберите Virtual Machines.2) Нажмите NEW VM.3) В полях Name и Computer Name укажите название ВМ и имя компьютера. Имя компьютера должно быть не более 15 символов: латинские буквы, цифры и дефисы. Имя не должно состоять только из цифр и содержать символ нижнего подчеркивания _ и/или пробелы.4) В поле Description укажите описание ВМ (Опционально).5) В чек-боксе Power on поставьте флаг, чтобы ВМ запустилась сразу после создания.6) В поле Type выберите способ создания ВМ: New или From Template (из шаблона):2.1 New - создание ВМ ""с нуля""1) В полях OS family и Operating System выберите семейство ОС и ОС.2) Возможны проблемы с запуском ВМ на базе MacOS X – каждый случай индивидуален, вплоть до невозможности запустить, при возникновении проблем обращайтесь в техническую поддержку.3) В поле Boot image выберите загрузочный образ в формате ISO. Его нужно заранее загрузить в каталог организации или найти в общедоступном каталоге. Либо подключите его позднее.4) Укажите параметры виртуальных ресурсов виртуальной машины:• Virtual CPUs — количество ядер CPU;Не рекомендуем назначать на ВМ более 50 ядер для организаций, расположенных в VIPORTAL и более 100 ядер для организаций в DVPORTAL;• Cores per socket — количество ядер на сокет;Рекомендуем выставлять значение «количество CPU / 2» либо оставлять 1;• Memory — объем оперативной памяти;Не рекомендуем назначать на ВМ более 256 ГБ оперативной памяти.5) В разделе Storage укажите размер диска ВМ и политику хранения.Просьба принять во внимание:• диски ВМ можно только увеличивать.• не рекомендуем создавать диски более 4 ТБ.• увеличение дисков возможно только при отсутствии снапшотов на ВМ на момент внесения изменений.6) В разделе Networking выберите сеть, к которой нужно подключить ВМ и способ получения IP-адреса. Сеть можно назначить позже.7) После создания ВМ подключите образ установочного диска.2.2 From Template – разворачивание ВМ из шаблона1) Выберите шаблон из списка Templates.2) В разделе Storage выберите Storage Policy, на которой будет располагаться ВМ.3) Укажите параметры виртуальных ресурсов ВМ:• Virtual CPUs — количество ядер CPU.Не рекомендуем назначать на ВМ более 50 ядер для организаций, расположенных в VIPORTAL и более 100 ядер для организаций в DVPORTAL• Cores per socket — количество ядер на сокет.Рекомендуем выставлять значение «количество CPU / 2» либо оставлять 1.• Memory — объем оперативной памяти.Не рекомендуем назначать на ВМ более 256 ГБ оперативной памяти.4) В разделе Networking выберите сеть, к которой нужно подключить ВМ и способ получения IP-адреса. Сеть можно назначить позже.5) Прочтите и примите лицензионное соглашение, если оно есть.6) Нажмите OK для запуска создания ВМ. Это займет некоторое время.3. Управление виртуальной машиной1) В разделе Data Centers нажмите на карточку виртуального ЦОД и в меню слева выберите Virtual Machines.2) В карточке ВМ нажмите ACTIONS. Список доступных действий:• Power → Power On— включение ВМ.• Power → Power Off— выключение ВМ. Аналогично грубому выключению питания физического сервера.• Power → Power On, Force Recustomization— включение ВМ с принудительной перенастройкой.• Power → Shut Down a Guest OS — завершение работы гостевой ОС. Аналогично корректному завершению работы физического сервера.• Power → Suspend — приостановка ВМ – «пауза». Текущее состояние ВМ сохраняется за счет записи RAM на диск. Процесс приостановки может занять некоторое время.• Запуск ВМ из этого состояния происходит командой Power On.• Power → Reset — аналог нажатия Reset на физическом сервере.• Power → Discard suspended state — отмена приостановки ВМ - сохраненная на диск RAM удаляется и ВМ переходит в отключенное состояние.• Snapshot → Create Snapshot — создание снапшота.• Snapshot → Revert to Snapshot — откат состояния ВМ на момент создания снапшота.• Snapshot → Remove Snapshot — удаление снапшота.• VM Console → Launch Web Console — открытие веб-консоли в новой вкладке в браузере.• VM Console → Launch Remote Console — открытие VM Remote Console.• VM Console → Download VM Remote Console — загрузка VM Remote Console.• Media → Insert Media — подключение медиафайла из каталога.• Media → Eject Media — извлечение медиафайла.• Install VMware Tools — установка VMware Tools.• Upgrade Virtual Hardware Version — обновление Virtual Hardware Version ВМ.• Move — перемещение ВМ в другой vApp.• Copy — копирование ВМ в другой vApp.• Convert to vApp — конвертация ВМ в vApp в случае Standalone VM.• Edit Badges — редактирование ярлыков ВМ.• Delete — удаление ВМ.3.1 Открытие консоли ВМДоступ через Web Console:1) Доступ к консоли ВМ доступен только на включенной ВМ.2) Откройте Web Console либо из меню Actions (в карточке ВМ нажмите ACTIONS → VM Console → Launch Web Console.), либо нажмите VM Console под названием и статусом непосредственно на карточке ВМ.Для доступа через Vmware Remote Console:1) Загрузите и установите VMware Remote Console, если она не установлена. В карточке ВМ нажмите ACTIONS → VM Console → Download VM Remote Console.2) В карточке ВМ нажмите ACTIONS → VM Console → Launch Remote Console.3) Во всплывающем окне браузера нажмите «Открыть» приложение «VMware Remote Console».3.2 Установка VMware ToolsVMware Tools — набор утилит, который дополняет драйверы ОС драйверами Vmware. Гостевая ОС может работать без VMware Tools, но их использование упрощает управление ВМ и улучшает ее производительность. Наиболее заметно влияние Vmware Tools при создании снапшотов и применении виртуальных сетевых адаптеров VMNET3.1) Установка происходит на включенную ВМ.2) В карточке ВМ нажмите ACTIONS → Install VMware Tools. Это действие примонтирует к ВМ образ, содержащий установочные файлы.3) Установите VMware Tools в гостевой ОС.3.3 Подключение и извлечение медиафайла для использования в гостевой ОСВы можете подключить к гостевой ОС ISO-образы из каталога организации. Эти файлы можно использовать для установки ОС, приложений, драйверов и т. д.Перед подключением убедитесь, что нужный файл импортирован в каталог организации. Если нет, загрузите его:1) В разделе Data Centers нажмите на карточку виртуального ЦОД и в меню слева выберите Virtual Machines.2) Найдите нужную ВМ.3) В карточке ВМ нажмите ACTIONS → Media → Insert Media.4) В окне Insert CD выберите медиафайл, который нужно подключить, и нажмите INSERT.5) После того, как вы закончили использовать ISO-образ, его необходимо извлечь.6) Найдите нужную ВМ.7) В карточке ВМ нажмите ACTIONS → Media → Eject Media.8) Образ / медиафайл будет извлечен.4. Изменение параметров ВМ1) Найдите нужную ВМ.2) В карточке ВМ нажмите DETAILS, либо нажмите на название ВМ.3) Измените параметры ВМ в нужном разделе: General, Harware или Guest OS Customization.4) Если некоторые параметры недоступны для редактирования – выключите ВМ.5) Измените параметры ВМ в нужном разделе: General, Harware или Guest OS Customization.6) Сохраните новые значения, включите ВМ.4.1 Изменение типа диска ВМ1) Найдите нужную ВМ.2) Выключите ВМ – в карточке виртуальной машины нажмите ACTIONS → Power → Power Off.3) В карточке ВМ нажмите DETAILS, либо нажмите на название ВМ.4) В разделе Hardware → Hard Disks нажмите EDIT.5) При необходимости изменения типа шины (Bus Type) вы можете:- Самостоятельно создать новый диск с нужным типом адаптера. Для этого перейдите в настройки ВМ –> Hard Disks -> Edit ->Add, укажите необходимые параметры диска, нажмите кнопку SAVE. Затем средствами операционной системы выполните перенос данных с исходного диска для его последующего удаления.- Обратиться в службу технической поддержки с запросом на изменение типа шины. При обращении укажите название виртуальной машины, индекс (index) жесткого диска, тип шины, на который необходимо изменить текущее значение.Для изменения шины потребуется выключение виртуальной машины.6) Нажмите SAVE. Включите ВМ.4.2 Увеличение размера диска ВМУвеличение размера диска ВМ состоит из двух шагов:1) Увеличение размера диска ВМ.2) Расширение раздела внутри ОС.Увеличение размера диска ВМ:1) Найдите нужную ВМ. Удалите снапшот, т.к. увеличить диск при наличии снапшота невозможно.2) В карточке ВМ нажмите DETAILS, либо нажмите на название ВМ.3) В разделе Hardware → Hard Disks нажмите EDIT.4) Укажите новый размер диска в столбце Size. Размер диска можно только увеличивать. Уменьшение размера диска невозможно.5) Нажмите SAVE.4.3 Добавление диска на ВМ1) Найдите нужную ВМ.2) В карточке ВМ нажмите DETAILS, либо нажмите на название ВМ.3) В разделе Hardware → Hard Disks нажмите EDIT, затем ADD.4) Задайте требуемые параметры диска.5) Нажмите SAVE.5.СнапшотыСнапшот сохраняет состояние ВМ и данные по ней в определенный момент времени. С его помощью можно вернуться к работоспособному состоянию машины после неудачного обновления, тестирования приложений или других потенциально опасных действий.Когда потребности в снапшоте больше нет, рекомендуется снапшот удалить. Существование снапшота влияет на производительность ВМ, и со временем это действие усиливается. Также снапшот занимает место в выделенной квоте.Снапшот не заменяют собой резервные копии и не могут быть использованы отдельно от ВМ.В Vcloud Director возможно держать только один снапшот для каждой ВМ.5.1 Создание снапшота ВМ1) Найдите нужную ВМ.2) В карточке ВМ нажмите ACTIONS → Snapshot → Create Snapshot.3) Если нужно делать снапшот, содержащий так же слепок RAM ВМ, выберите Snapshot the memory of the virtual machine.4) Если нужно заморозить гостевую файловую систему на период создания снапшота выберите Quiesce the guest file system (Requires installed VMware Tools).5) Нажмите CREATE.Аналогично создается снапшот на уровке vApp – снапшоты создаются для всех ВМ, входящих в vApp.5.2 Возрат (откат) к снапшоту1) Найдите нужную ВМ.2) В карточке ВМ нажмите ACTIONS → Snapshot → Revent to Snapshot.3) Нажмите ОК.4) Возврат (откат) на уровне vApp выполняется таким же образом – откатываются все ВМ, входящие в vApp.5.3 Удаление снапшота1) Найдите нужную ВМ.2) В карточке ВМ нажмите ACTIONS → Snapshot → Remove to Snapshot.3) Нажмите ОК.Снапшот vApp удаляется аналогично. В этом случае удаляются снапшоты всех ВМ в vApp.6. Удаление ВМ1) Найдите нужную ВМ.2) В карточке ВМ нажмите ACTIONS → Power → Power Off. Удалить можно только выключенную ВМ.3) В карточке ВМ нажмите ACTIONS → Delete.Запустится процесс удаления ВМ, который может занять несколько минут."
Работа с vApp,https://oncloud.ru/documentation/catalog/iaas/vapp,"Работа с vApp1. Работа со списком vAppСписок vApp организации видны в разделе Applications → Virtual Applications.Поиск vApp по названию или описанию.1) В поле Find by: выберите, по какому признаку искать:• «Name» — название vApp;• «Description» — описание vApp.2) Введите символы для поиска, будут показаны vApp, попадающие под критерии.Расширенная фильтрация (Advanced Filtering) возможна по:• «Name» — названию;• «Description» — описанию;• «State» — статусу;• «Snapshot» — наличию спапшотов;• «Expired» — времени аренды (истек или нет);• «Owner» — владельцу;• «Badges» — ярлыку;• «Creation Date» — промежутку даты создания.Сортировка vApp возможна по:• «Name» — названию;• «State» — состоянию;• «Creation Date» — дате создания;• «Runtime lease» — по ограничению на время работы;• «Storage lease» — по ограничению на время хранения перед удалением;• «CPUs» — количеству ядер CPU;• «Memory Allocation» — выделенному объему RAM;• «Storage Allocation» — выбеленному объему виртуального диска;• «Owner» — по имени владельца;• «Data Center» — сортировка по дата-центру, где размещен vApp;• «Application Image» — ортировка по образу приложения, если он используется.В поле Sort by выберите параметр сортировки. Стрелка справа выберает способ сортировки — по возрастанию или по убыванию.Переключатель Multiselect позволяет управлять сразу несколькими vApp.1) Включите режим Multiselect.2) Выберите нужные vApp с помощью чек-боксов.3) Из списка ACTIONS выберите нужное действие:• «Power» — запуск vApp, выключение vApp и другие действия с питанием.• «Snapshot» — создание снапшота, откат и удаление снапшота.• «Convert To VM» — преобразование в ВМ.• «Delete» — удаление vApp.Действие запустится для всех выбранных vApp.2. Значки (Badges)vApp можно отметить цветными ярлыками для визуальной наглядности. Также по ярлыку можно искать объекты.ВМ можно отмечать цветными ярлыками для визуальной наглядности. Также по ярлыку можно искать объекты.1) В карточке vApp нажмите Badges.2) Выберите один или несколько ярлыков.3) НажмитеSAVE.В карточке vApp появятся выбранные ярлыки.3. Создание vApp1) В разделе Data Centers нажмите на карточку виртуального ЦОД и выберите vApps.2) Нажмите NEW → New vApp.В поле Name укажите название vApp.1) В поле Description опционально добавьте описание vApp.2) В чек-боксе Power on поставьте флаг, если необходимо, чтобы vApp запустился сразу после создания.3) Нажмите ADD VIRTUAL MACHINE, чтобы добавить в vApp ВМ. Порядок создания ВМ указан в соответствующем разделе инструкции.4) Нажмите CREATE.4. Создание vApp из файла OVF1) В разделе Data Centers нажмите на карточку виртуального ЦОД и выберите vApps.2) Нажмите NEW → Add vApp From OVF.3) На шаге Select Source выберите шаблон OVF/OVA.При загрузке шаблона в формате:• ova — загрузите единый файл с расширением *.ova.• ovf — загрузите все файлы шаблона, добавляйте файлы последовательно.4) На шаге Review Details можно просмотреть информацию о загружаемом vApp.5) На шаге Select vApp Name укажите название vApp и его описание.6) На шаге Configure Resources выберите Storage Policy и имя компьютера.7) На шаге Configure Networking выберите сеть, к которой смогут подключаться все ВМ в данном vApp.Расширенные настройки сети доступны при активации чек-бокса Switch to the advanced networking workflow.8) На шаге Customize Hardware укажите количество ресурсов, доступных ВМ в vApp.9) На шаге Ready to Complete проверьте указанные данные и завершите создание.5. Изменение параметров vApp1) В разделе Data Centers нажмите на карточку виртуального ЦОД и выберите vApps.2) Найдите нужный vApp.3) В карточке vApp нажмите DETAILS.GeneralВ разделе General отображается общая информация о vApp: название, статус, описание, расположение, наличие снапшотов, параметры времени аренды.Чтобы отредактировать название или описание vApp, нажмите EDIT.Virtual MachinesВ разделе Virtual Machines отображается список ВМ в vApp. Нажав на название ВМ, откроется меню изменения настроек ВМ.В разделе Start and Stop Order настраивается порядок запуска и остановки ВМ внутри vApp.В разделе Networks можно добавляются и удаляются сети, к которым можно подключить ВМ в vApp.В разделе Sharing предоставляется доступ к vApp другим пользователям организации. Настраивается следующим образом:1.    Нажмите EDIT.2.    выберите пользователя и укажите уровень доступа для него: «Read only», «Read/Write», «Full Control».3.    Нажмите SHARE.6. Добавление сети в vAppСети организации бывают прямые «Direct» или изолированные «Fenced». Изолированные сети позволяют запускать одинаковые ВМ в разных vApp и избегать конфликтов MAC и IP адресов.1) В разделе Data Centers нажмите на карточку виртуального ЦОД и выберите vApps.2) Найдите нужный vApp.3) В карточке vApp нажмите ACTIONS → Add→ Add network.4) Выберите тип сети «OrgVDC Network» (сеть организации) или «vApp Network» (сеть vApp).5) При выборе сети организации укажите сеть из списка.6) При выборе сети vApp укажите параметры сети:• В поле Name укажите название сети.• В поле Gateway CIDR — адрес шлюза и префикс сети в формате «a.a.a.1/24».• Укажите Primary DNS, Secondary DNS и DNS suffix в соответствующих полях при необходимости.• В поле Static IP Pools укажите пул IP-адресов в формате «a.a.a.2-a.a.a.100», и нажмите ADD.• IP-адреса выбирайте из сети, указанной в Gateway CIDR. Адрес шлюза по умолчанию, указанный в Gateway CIDR, не должен входить в Static IP Pool.7) Нажмите ADD.7. Изолирование сетей vAppЗапуск одинаковы ВМ в разных vApp может вызвать конфликт MAC и IP адресов. Чтобы избежать этого, необходимо изолировать сети vApp.1) В разделе Data Centers нажмите на карточку виртуального ЦОД и выберите vApps.2) Найдите нужный vApp.3) В карточке vApp нажмите DETAILS.4) В разделе Networks в поле vApp Fencing нажмите EDIT.5) Включите опцию Fence vApp и нажмите OK.В поле vApp Fencing появится статус «Fenced».IP и MAC-адреса ВМ в этом vApp становятся изолированными от остальных vApp.8. Перемещение vAppЕсли в организации несколько виртуальных ЦОД, можно переместить vApp из одного ЦОД в другой. При этом из исходного виртуального ЦОД vApp удаляется. Таким же образом можно копировать – в таком случае исходный vApp остается.1) В разделе Data Centers нажмите на карточку виртуального ЦОД и выберите vApps.2) Найдите нужный vApp.3) vApp должен быть выключен для выполнения операции Move. Copy этого не требует.4) В карточке vApp нажмите ACTIONS → Move. (или Copy для копирования).5) Выберите виртуальный ЦОД, в который нужно переместить/копировать vApp.6) При необходимости выберите политику хранения ВМ в vApp.7) Нажмите OK.9. Добавление ВМ в vApp1) В разделе Data Centers нажмите на карточку виртуального ЦОД и выберите vApps.2) Найдите нужный vApp.3) В карточке vApp нажмите ACTIONS → Add → Add VM.4) Нажмите ADD VIRTUAL MACHINE, чтобы создать новую ВМ или добавить имеющуюся.5) Нажмите ADD.10. Загрузка vApp из VMware Cloud Director на компьютер1) Вы можете загрузить vApp в формате OVA.В разделе Data Centers нажмите на карточку виртуального ЦОД и выберите vApps.2) Выключите необходимый vApp, ACTIONS → Power → Power Off.3) В карточке vApp нажмите ACTIONS → Download.4) Чтобы сохранить UUID и MAC-адреса ВМ и vApp, установите флаг Preserve identity information.5) Нажмите OK. Начнется загрузка файла."
Работа с правилами Affinity и Anti-Affinity,https://oncloud.ru/documentation/catalog/iaas/affinity,"Работа с правилами Affinity и Anti-AffinityПравила Affinity и Anti-Affinity позволяют размещать несколько ВМ на разных или на одном хосте в зависимости от требований.Правило Affinity размещает несколько ВМ на одном хосте.Правило Anti-Affinity распределяет несколько ВМ по разным хостам.Правила Affinity и Anti-Affinity:• required (обязательные) — ВМ подчиняются правилу, если для его выполнения есть ресурсы;• preferred (предпочтительные) — ВМ подчиняются правилу, если оно не противоречит другим факторам.Чтобы создать правило Affinity (Anti-Affinity):1) В разделе Data Centers нажмите на карточку виртуального ЦОД и выберите Affinity (Anti-Affinity) Rules.2) В списке Affinity (Anti-Affinity) Rules нажмите NEW.3) Заполните параметры:• Name — название правила;• Enable — включить или отключить правило;• Required — включить или отключить обязательное выполнение правила.4) Выберите ВМ, к которым будет применяться правило.5) Нажмите SAVE.Редактирование и удаление правил делается аналогично."
Работа с именованными дисками,https://oncloud.ru/documentation/catalog/iaas/named-disks,"Работа с именованными дисками1. Создание, редактирование и удаление именованного диска1) В разделе Data Centers нажмите на карточку виртуального ЦОД и в меню слева выберите Named Disks.2) Нажмите NEW.3) Откроется форма Create Named Disk.4) В поле Name укажите название диска.5) В поле Description укажите описание.6) В поле Storage Policy выберите политику хранения.7) В поле Size of Disk укажите размер диска.8) В поле Bus Type выберите тип шины данных.9) В поле Bus Sub-Type выберите подтип шины данных.10) Установите чек-бокс Shareable если планируется подключить диск к нескольким ВМ. После создания диска отключить эта опция будет недоступна для изменения.11) Нажмите SAVE.Редактирование параметров именованного диска и его удаление недоступны, если он подключен к ВМ. Чтобы отключить именованный диск, выберите его из списка и нажмите сверху DETACH.Для удаления именованного диска:1) В разделе Data Centers нажмите на карточку виртуального ЦОД и в меню слева выберите Named Disks.2) Нажмите на переключатель слева от названия диска, а затем сверху DELETE.3) Нажмите OK.2. Подключение Named Disk к ВМNamed Disk можно подключить к любой ВМ, которая развернута в том же виртуальном ЦОД, что и диск.Нельзя сделать снапшот ВМ, к которой подключен Named Disk.1) В разделе Data Centers нажмите на карточку виртуального ЦОД и в меню слева выберите Named Disks.2) Нажмите на переключатель слева от названия диска, а затем сверху ATTACH.3) Выберите название ВМ.4) Нажмите APPLY.К одной ВМ можно подключить несколько именованных дисков. Один диск можно подключить к нескольким машинам, если для диска включен параметр Shareable.ВМ, к которой подключен диск, отображается в столбце Attached VM Count."
Работа с каталогами,https://oncloud.ru/documentation/catalog/iaas/catalogs,"Работа с каталогами1. Создание рабочего каталогаВы сможете сохранять в библиотеке шаблоны vApp и загружать медиафайлы для последующего подключения их к ВМ.1) В разделе Content Hub в меню слева выберите Catalogs.2) Нажмите NEW.3) В поле Name укажите название каталога.4) В поле Description укажите описание каталога.5) Активируйте переключатель Pre-provision on specific storage policy и выберите виртуальный ЦОД и политику хранения для каталога.Если оставить переключатель выключенным, содержимое каталога будет размещаться в любом доступном хранилище организации.6) Нажмите OK.2. Предоставление доступа к содержимому каталогаВладелец каталога может предоставить доступ к каталогу для отдельных пользователей в организации и для всех.1) В разделе Content Hub в меню слева выберите Catalogs.2) Нажмите на три точки напротив каталога и выберите Share.3) В поле Share with выберите, кому предоставить доступ:• «All Users and Groups» — всем пользователям;• «Specific Users and Groups» — отдельным пользователям.4) При выборе Specific Users and Groups укажите пользователей и уровень доступа: «Read only», «Read/Write», «Full Control».5) Нажмите SAVE.3. Смена владельца каталогаПользователь с ролью «Organization administrator» может поменять владельца каталога.1) В разделе Content Hub в меню слева выберите Catalogs.2) Нажмите на три точки напротив каталога и выберите Change owner.3) Выберите пользователя из списка и нажмите OK.4. Удаление каталога1) В разделе Content Hub в меню слева выберите Catalogs.2) Убедитесь, что в каталоге нет шаблонов vApp и медиафайлов.3) Нажмите на три точки напротив каталога, выберите Delete и подтвердите удаление."
